site_id,visit_date,pit_tag_ref,tag_new,length
10225,2020-08-18,900067000117149,TRUE,76
10223,2020-08-16,982126058790662,TRUE,73
10223,2021-07-25,982126058791264,TRUE,60
70470,2022-08-19,982091064358209,TRUE,40
